Mo_400Sb_30Se_1 2026-07-09 12-05-45		Mo_400Sb_30Se_2 2026-07-09 12-07-33		Mo_400Sb_30Se_3 2026-07-09 12-09-34		Mo_400Sb_30Se_5 2026-07-09 12-11-24		Mo_400Sb_30Se_6 2026-07-09 12-12-38		Mo_400Sb_30Se_7 2026-07-09 12-13-59		Mo_400Sb_30Se_8 2026-07-09 12-15-13		Mo_400Sb_30Se_9 2026-07-09 12-16-33		Mo_400Sb_30Se_10 2026-07-09 12-17-48		Mo_400Sb_30Se_11 2026-07-09 12-19-34		Mo_400Sb_30Se_12 2026-07-09 12-22-06	
Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas
0.11610000	-0.00111716	0.11610000	-0.00098137	0.11610000	-0.00140142	0.11610000	-0.00053979	0.11610000	0.00157071	0.11610000	0.00020079	0.11610000	0.00052683	0.11610000	-0.00005770	0.11610000	0.00126724	0.11610000	0.00138526	0.11610000	0.00115993
0.12080000	-0.00122279	0.12080000	-0.00108242	0.12080000	-0.00153743	0.12080000	-0.00063318	0.12080000	0.00152964	0.12080000	0.00012604	0.12080000	0.00044837	0.12080000	-0.00010613	0.12080000	0.00123445	0.12080000	0.00135491	0.12080000	0.00113190
0.12550000	-0.00133037	0.12550000	-0.00118401	0.12550000	-0.00167260	0.12550000	-0.00072849	0.12550000	0.00148725	0.12550000	0.00004914	0.12550000	0.00036856	0.12550000	-0.00015507	0.12550000	0.00120193	0.12550000	0.00132184	0.12550000	0.00110243
0.13020000	-0.00143717	0.13020000	-0.00128687	0.13020000	-0.00180973	0.13020000	-0.00082476	0.13020000	0.00144425	0.13020000	-0.00002653	0.13020000	0.00028973	0.13020000	-0.00020366	0.13020000	0.00116858	0.13020000	0.00129032	0.13020000	0.00107434
0.13490000	-0.00154437	0.13490000	-0.00138980	0.13490000	-0.00194790	0.13490000	-0.00091938	0.13490000	0.00140097	0.13490000	-0.00010065	0.13490000	0.00020773	0.13490000	-0.00025314	0.13490000	0.00113524	0.13490000	0.00125774	0.13490000	0.00104305
0.13960000	-0.00165271	0.13960000	-0.00149315	0.13960000	-0.00208725	0.13960000	-0.00101568	0.13960000	0.00135948	0.13960000	-0.00017745	0.13960000	0.00012729	0.13960000	-0.00030299	0.13960000	0.00110057	0.13960000	0.00122344	0.13960000	0.00101356
0.14430000	-0.00176143	0.14430000	-0.00159663	0.14430000	-0.00222652	0.14430000	-0.00111514	0.14430000	0.00131473	0.14430000	-0.00025410	0.14430000	0.00004225	0.14430000	-0.00035376	0.14430000	0.00106596	0.14430000	0.00119082	0.14430000	0.00098073
0.14900000	-0.00187030	0.14900000	-0.00170083	0.14900000	-0.00236743	0.14900000	-0.00121408	0.14900000	0.00127094	0.14900000	-0.00033046	0.14900000	-0.00004211	0.14900000	-0.00040442	0.14900000	0.00103077	0.14900000	0.00115734	0.14900000	0.00094961
0.15370000	-0.00198212	0.15370000	-0.00180597	0.15370000	-0.00250776	0.15370000	-0.00131285	0.15370000	0.00122706	0.15370000	-0.00040671	0.15370000	-0.00012887	0.15370000	-0.00045571	0.15370000	0.00099607	0.15370000	0.00112210	0.15370000	0.00091716
0.15840000	-0.00209197	0.15840000	-0.00191105	0.15840000	-0.00265102	0.15840000	-0.00141283	0.15840000	0.00118322	0.15840000	-0.00048417	0.15840000	-0.00021562	0.15840000	-0.00050719	0.15840000	0.00095849	0.15840000	0.00108526	0.15840000	0.00088401
0.16310000	-0.00220450	0.16310000	-0.00201671	0.16310000	-0.00279449	0.16310000	-0.00151248	0.16310000	0.00113783	0.16310000	-0.00056259	0.16310000	-0.00030105	0.16310000	-0.00055916	0.16310000	0.00092160	0.16310000	0.00104985	0.16310000	0.00085083
0.16780000	-0.00231835	0.16780000	-0.00212451	0.16780000	-0.00294018	0.16780000	-0.00161326	0.16780000	0.00109213	0.16780000	-0.00063938	0.16780000	-0.00038871	0.16780000	-0.00061162	0.16780000	0.00088445	0.16780000	0.00101444	0.16780000	0.00081629
0.17250000	-0.00243183	0.17250000	-0.00223186	0.17250000	-0.00308537	0.17250000	-0.00171649	0.17250000	0.00104571	0.17250000	-0.00071708	0.17250000	-0.00047759	0.17250000	-0.00066486	0.17250000	0.00084640	0.17250000	0.00097693	0.17250000	0.00078292
0.17720000	-0.00254653	0.17720000	-0.00234070	0.17720000	-0.00323132	0.17720000	-0.00181905	0.17720000	0.00099990	0.17720000	-0.00079524	0.17720000	-0.00056707	0.17720000	-0.00071803	0.17720000	0.00080726	0.17720000	0.00094061	0.17720000	0.00074699
