Mo_400deg_400Sb_35Se_1 2026-07-09 13-06-40		Mo_400deg_400Sb_35Se_2 2026-07-09 13-08-33		Mo_400deg_400Sb_35Se_3 2026-07-09 13-10-06		Mo_400deg_400Sb_35Se_6 2026-07-09 13-11-56		Mo_400deg_400Sb_35Se_10 2026-07-09 13-20-38		Mo_400deg_400Sb_35Se_11 2026-07-09 13-22-13		Mo_400deg_400Sb_35Se_12 2026-07-09 13-23-33		Mo_400deg_400Sb_35Se_7 2026-07-09 13-25-31		Mo_400deg_400Sb_35Se_8 2026-07-09 13-26-50		Mo_400deg_400Sb_35Se_9 2026-07-09 13-28-07	
Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas
0.13490000	0.00001431	0.13490000	0.00058156	0.13490000	0.00023499	0.13490000	0.00009753	0.13490000	-0.00039961	0.13490000	0.00025826	0.13490000	0.00006427	0.13490000	-0.00004187	0.13490000	-0.00069887	0.13490000	-0.00090537
0.13960000	-0.00000958	0.13960000	0.00056485	0.13960000	0.00021131	0.13960000	0.00005541	0.13960000	-0.00043920	0.13960000	0.00023521	0.13960000	0.00003775	0.13960000	-0.00008095	0.13960000	-0.00074997	0.13960000	-0.00095787
0.14430000	-0.00003357	0.14430000	0.00054799	0.14430000	0.00018764	0.14430000	0.00001318	0.14430000	-0.00047886	0.14430000	0.00021065	0.14430000	0.00001111	0.14430000	-0.00011773	0.14430000	-0.00080108	0.14430000	-0.00101027
0.14900000	-0.00005957	0.14900000	0.00052985	0.14900000	0.00016359	0.14900000	-0.00003066	0.14900000	-0.00051875	0.14900000	0.00018624	0.14900000	-0.00001455	0.14900000	-0.00015521	0.14900000	-0.00085295	0.14900000	-0.00106357
0.15370000	-0.00008381	0.15370000	0.00051335	0.15370000	0.00014050	0.15370000	-0.00007555	0.15370000	-0.00055833	0.15370000	0.00016235	0.15370000	-0.00004121	0.15370000	-0.00019282	0.15370000	-0.00090523	0.15370000	-0.00111665
0.15840000	-0.00010853	0.15840000	0.00049492	0.15840000	0.00011703	0.15840000	-0.00011834	0.15840000	-0.00059767	0.15840000	0.00013741	0.15840000	-0.00006732	0.15840000	-0.00023087	0.15840000	-0.00095708	0.15840000	-0.00117017
0.16310000	-0.00013300	0.16310000	0.00047865	0.16310000	0.00009227	0.16310000	-0.00016184	0.16310000	-0.00063756	0.16310000	0.00011256	0.16310000	-0.00009440	0.16310000	-0.00026900	0.16310000	-0.00101005	0.16310000	-0.00122415
0.16780000	-0.00015805	0.16780000	0.00046115	0.16780000	0.00006760	0.16780000	-0.00020640	0.16780000	-0.00067825	0.16780000	0.00008725	0.16780000	-0.00012117	0.16780000	-0.00030741	0.16780000	-0.00106289	0.16780000	-0.00127796
0.17250000	-0.00018323	0.17250000	0.00044357	0.17250000	0.00004279	0.17250000	-0.00025055	0.17250000	-0.00071787	0.17250000	0.00006211	0.17250000	-0.00014805	0.17250000	-0.00034537	0.17250000	-0.00111708	0.17250000	-0.00133293
0.17720000	-0.00020766	0.17720000	0.00042523	0.17720000	0.00001773	0.17720000	-0.00029456	0.17720000	-0.00075843	0.17720000	0.00003714	0.17720000	-0.00017537	0.17720000	-0.00038335	0.17720000	-0.00117080	0.17720000	-0.00138824
0.18190000	-0.00023319	0.18190000	0.00040776	0.18190000	-0.00000746	0.18190000	-0.00034060	0.18190000	-0.00079896	0.18190000	0.00001104	0.18190000	-0.00020215	0.18190000	-0.00042194	0.18190000	-0.00122521	0.18190000	-0.00144333
0.18660000	-0.00025844	0.18660000	0.00038900	0.18660000	-0.00003275	0.18660000	-0.00038607	0.18660000	-0.00083872	0.18660000	-0.00001408	0.18660000	-0.00022966	0.18660000	-0.00046100	0.18660000	-0.00127975	0.18660000	-0.00150035
0.19130000	-0.00028361	0.19130000	0.00037039	0.19130000	-0.00005974	0.19130000	-0.00043186	0.19130000	-0.00087955	0.19130000	-0.00003954	0.19130000	-0.00025751	0.19130000	-0.00049956	0.19130000	-0.00133449	0.19130000	-0.00155743
0.19595000	-0.00030843	0.19595000	0.00035182	0.19595000	-0.00008544	0.19595000	-0.00047723	0.19595000	-0.00091977	0.19595000	-0.00006606	0.19595000	-0.00028394	0.19595000	-0.00053844	0.19595000	-0.00138946	0.19595000	-0.00162162
0.20065000	-0.00033434	0.20065000	0.00033370	0.20065000	-0.00011202	0.20065000	-0.00052395	0.20065000	-0.00096072	0.20065000	-0.00009190	0.20065000	-0.00031192	0.20065000	-0.00057807	0.20065000	-0.00144512	0.20065000	-0.00168023
0.20535000	-0.00036016	0.20535000	0.00031372	0.20535000	-0.00013918	0.20535000	-0.00057138	0.20535000	-0.00100208	0.20535000	-0.00011831	0.20535000	-0.00034002	0.20535000	-0.00061841	0.20535000	-0.00150229	0.20535000	-0.00173890
0.21005000	-0.00038651	0.21005000	0.00029372	0.21005000	-0.00016601	0.21005000	-0.00061919	0.21005000	-0.00104457	0.21005000	-0.00014511	0.21005000	-0.00036846	0.21005000	-0.00065762	0.21005000	-0.00155989	0.21005000	-0.00179947
