Mo_200Sb_25Se_1 2026-07-09 10-35-34		Mo_200Sb_25Se_2 2026-07-09 10-37-35		Mo_200Sb_25Se_3 2026-07-09 10-39-51		Mo_200Sb_25Se_4 2026-07-09 10-41-36		Mo_200Sb_25Se_5 2026-07-09 10-43-16		Mo_200Sb_25Se_6 2026-07-09 10-44-50		Mo_200Sb_25Se_7 2026-07-09 10-46-49		Mo_200Sb_25Se_9 2026-07-09 10-48-24		Mo_200Sb_25Se_10 2026-07-09 10-49-56		Mo_200Sb_25Se_11 2026-07-09 10-51-10		Mo_200Sb_25Se_12 2026-07-09 10-52-29		Mo_200Sb_25Se_13 2026-07-09 10-54-24		Mo_200Sb_25Se_14 2026-07-09 10-55-42	
Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas
0.19130000	0.00146164	0.19130000	0.00053629	0.19130000	-0.00028407	0.19130000	0.00058965	0.19130000	0.00093520	0.19130000	-0.00034726	0.19130000	-0.00213487	0.19130000	-0.00317919	0.19130000	0.00045000	0.19130000	-0.00001399	0.19130000	0.00121598	0.19130000	0.00058863	0.19130000	0.00051605
0.19595000	0.00142961	0.19595000	0.00052554	0.19595000	-0.00036133	0.19595000	0.00055693	0.19595000	0.00090391	0.19595000	-0.00039771	0.19595000	-0.00221990	0.19595000	-0.00337015	0.19595000	0.00041019	0.19595000	-0.00005544	0.19595000	0.00119282	0.19595000	0.00058242	0.19595000	0.00047073
0.20065000	0.00139655	0.20065000	0.00051467	0.20065000	-0.00044283	0.20065000	0.00052340	0.20065000	0.00087410	0.20065000	-0.00044867	0.20065000	-0.00230733	0.20065000	-0.00357057	0.20065000	0.00037041	0.20065000	-0.00009852	0.20065000	0.00116974	0.20065000	0.00057629	0.20065000	0.00042088
0.20535000	0.00136296	0.20535000	0.00050323	0.20535000	-0.00052654	0.20535000	0.00048785	0.20535000	0.00084368	0.20535000	-0.00050070	0.20535000	-0.00239572	0.20535000	-0.00377743	0.20535000	0.00032794	0.20535000	-0.00014260	0.20535000	0.00114530	0.20535000	0.00057000	0.20535000	0.00037197
0.21005000	0.00132777	0.21005000	0.00049132	0.21005000	-0.00061224	0.21005000	0.00045319	0.21005000	0.00081184	0.21005000	-0.00055421	0.21005000	-0.00248353	0.21005000	-0.00399427	0.21005000	0.00028423	0.21005000	-0.00018774	0.21005000	0.00111937	0.21005000	0.00056325	0.21005000	0.00032099
0.21475000	0.00129179	0.21475000	0.00047944	0.21475000	-0.00070063	0.21475000	0.00041740	0.21475000	0.00077978	0.21475000	-0.00060783	0.21475000	-0.00257273	0.21475000	-0.00421576	0.21475000	0.00023939	0.21475000	-0.00023431	0.21475000	0.00109164	0.21475000	0.00055646	0.21475000	0.00026877
0.21945000	0.00125449	0.21945000	0.00046721	0.21945000	-0.00079291	0.21945000	0.00038117	0.21945000	0.00074636	0.21945000	-0.00066276	0.21945000	-0.00266157	0.21945000	-0.00444428	0.21945000	0.00019260	0.21945000	-0.00028181	0.21945000	0.00106375	0.21945000	0.00054953	0.21945000	0.00021694
0.22415000	0.00121509	0.22415000	0.00045406	0.22415000	-0.00088716	0.22415000	0.00034364	0.22415000	0.00071249	0.22415000	-0.00071924	0.22415000	-0.00275256	0.22415000	-0.00468020	0.22415000	0.00014551	0.22415000	-0.00032957	0.22415000	0.00103495	0.22415000	0.00054171	0.22415000	0.00016368
0.22885000	0.00117379	0.22885000	0.00044028	0.22885000	-0.00098314	0.22885000	0.00030514	0.22885000	0.00067614	0.22885000	-0.00077512	0.22885000	-0.00284387	0.22885000	-0.00492446	0.22885000	0.00009741	0.22885000	-0.00037953	0.22885000	0.00100539	0.22885000	0.00053334	0.22885000	0.00011004
0.23355000	0.00113115	0.23355000	0.00042698	0.23355000	-0.00108251	0.23355000	0.00026683	0.23355000	0.00063969	0.23355000	-0.00083294	0.23355000	-0.00293562	0.23355000	-0.00517704	0.23355000	0.00004615	0.23355000	-0.00043131	0.23355000	0.00097335	0.23355000	0.00052428	0.23355000	0.00005502
