Mo_200Sb_25Se_1 2026-07-09 10-35-34		Mo_200Sb_25Se_2 2026-07-09 10-37-35		Mo_200Sb_25Se_3 2026-07-09 10-39-51		Mo_200Sb_25Se_4 2026-07-09 10-41-36		Mo_200Sb_25Se_5 2026-07-09 10-43-16		Mo_200Sb_25Se_6 2026-07-09 10-44-50		Mo_200Sb_25Se_7 2026-07-09 10-46-49		Mo_200Sb_25Se_9 2026-07-09 10-48-24		Mo_200Sb_25Se_10 2026-07-09 10-49-56		Mo_200Sb_25Se_11 2026-07-09 10-51-10		Mo_200Sb_25Se_12 2026-07-09 10-52-29		Mo_200Sb_25Se_13 2026-07-09 10-54-24		Mo_200Sb_25Se_14 2026-07-09 10-55-42	
Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas
0.06445000	0.00224879	0.06445000	0.00080601	0.06445000	0.00132809	0.06445000	0.00141581	0.06445000	0.00165288	0.06445000	0.00082305	0.06445000	0.00008682	0.06445000	0.00018523	0.06445000	0.00129099	0.06445000	0.00095730	0.06445000	0.00177408	0.06445000	0.00075465	0.06445000	0.00160679
0.06915000	0.00223424	0.06915000	0.00080082	0.06915000	0.00128541	0.06915000	0.00139683	0.06915000	0.00163779	0.06915000	0.00078761	0.06915000	-0.00000121	0.06915000	0.00010489	0.06915000	0.00127189	0.06915000	0.00092746	0.06915000	0.00176391	0.06915000	0.00075224	0.06915000	0.00157998
0.07385000	0.00221723	0.07385000	0.00079481	0.07385000	0.00124018	0.07385000	0.00137483	0.07385000	0.00162135	0.07385000	0.00075044	0.07385000	-0.00008745	0.07385000	0.00002169	0.07385000	0.00125084	0.07385000	0.00089785	0.07385000	0.00175240	0.07385000	0.00075004	0.07385000	0.00155303
0.07850000	0.00219980	0.07850000	0.00078977	0.07850000	0.00119604	0.07850000	0.00135294	0.07850000	0.00160477	0.07850000	0.00071255	0.07850000	-0.00017509	0.07850000	-0.00006511	0.07850000	0.00123226	0.07850000	0.00086872	0.07850000	0.00174078	0.07850000	0.00074673	0.07850000	0.00152421
0.08320000	0.00218248	0.08320000	0.00078424	0.08320000	0.00114837	0.08320000	0.00132959	0.08320000	0.00158631	0.08320000	0.00067579	0.08320000	-0.00026254	0.08320000	-0.00015721	0.08320000	0.00121006	0.08320000	0.00083868	0.08320000	0.00173135	0.08320000	0.00074303	0.08320000	0.00149346
0.08790000	0.00216450	0.08790000	0.00077803	0.08790000	0.00110141	0.08790000	0.00130791	0.08790000	0.00156818	0.08790000	0.00063774	0.08790000	-0.00035027	0.08790000	-0.00025060	0.08790000	0.00118853	0.08790000	0.00080828	0.08790000	0.00172117	0.08790000	0.00074055	0.08790000	0.00146315
0.09260000	0.00214494	0.09260000	0.00077230	0.09260000	0.00105371	0.09260000	0.00128504	0.09260000	0.00155088	0.09260000	0.00059921	0.09260000	-0.00044023	0.09260000	-0.00034931	0.09260000	0.00116626	0.09260000	0.00077711	0.09260000	0.00170852	0.09260000	0.00073772	0.09260000	0.00143298
0.09730000	0.00212668	0.09730000	0.00076594	0.09730000	0.00100497	0.09730000	0.00126018	0.09730000	0.00153214	0.09730000	0.00055922	0.09730000	-0.00052673	0.09730000	-0.00045167	0.09730000	0.00114227	0.09730000	0.00074546	0.09730000	0.00169706	0.09730000	0.00073500	0.09730000	0.00140184
0.10200000	0.00210729	0.10200000	0.00075887	0.10200000	0.00094996	0.10200000	0.00123471	0.10200000	0.00151325	0.10200000	0.00051915	0.10200000	-0.00061486	0.10200000	-0.00055738	0.10200000	0.00112030	0.10200000	0.00071348	0.10200000	0.00168480	0.10200000	0.00073188	0.10200000	0.00136908
0.10670000	0.00208694	0.10670000	0.00075225	0.10670000	0.00089940	0.10670000	0.00121013	0.10670000	0.00149329	0.10670000	0.00047839	0.10670000	-0.00070345	0.10670000	-0.00066788	0.10670000	0.00109530	0.10670000	0.00068163	0.10670000	0.00167209	0.10670000	0.00072843	0.10670000	0.00133653
0.11140000	0.00206576	0.11140000	0.00074518	0.11140000	0.00084640	0.11140000	0.00118454	0.11140000	0.00147233	0.11140000	0.00043695	0.11140000	-0.00079196	0.11140000	-0.00078269	0.11140000	0.00106939	0.11140000	0.00064862	0.11140000	0.00165755	0.11140000	0.00072510	0.11140000	0.00130123
0.11610000	0.00204555	0.11610000	0.00073832	0.11610000	0.00079256	0.11610000	0.00115840	0.11610000	0.00145116	0.11610000	0.00039423	0.11610000	-0.00088177	0.11610000	-0.00090139	0.11610000	0.00104376	0.11610000	0.00061504	0.11610000	0.00164448	0.11610000	0.00072188	0.11610000	0.00126723
0.12080000	0.00202441	0.12080000	0.00073131	0.12080000	0.00073705	0.12080000	0.00112986	0.12080000	0.00142968	0.12080000	0.00035097	0.12080000	-0.00097126	0.12080000	-0.00102420	0.12080000	0.00101695	0.12080000	0.00058105	0.12080000	0.00163070	0.12080000	0.00071814	0.12080000	0.00123076
0.12550000	0.00200141	0.12550000	0.00072305	0.12550000	0.00067948	0.12550000	0.00110180	0.12550000	0.00140815	0.12550000	0.00030775	0.12550000	-0.00106157	0.12550000	-0.00115452	0.12550000	0.00099001	0.12550000	0.00054590	0.12550000	0.00161612	0.12550000	0.00071415	0.12550000	0.00119361
0.13020000	0.00197790	0.13020000	0.00071578	0.13020000	0.00062075	0.13020000	0.00107414	0.13020000	0.00138514	0.13020000	0.00026364	0.13020000	-0.00115108	0.13020000	-0.00128714	0.13020000	0.00096105	0.13020000	0.00051057	0.13020000	0.00160070	0.13020000	0.00071112	0.13020000	0.00115506
0.13490000	0.00195526	0.13490000	0.00070794	0.13490000	0.00056070	0.13490000	0.00104573	0.13490000	0.00136269	0.13490000	0.00021881	0.13490000	-0.00124211	0.13490000	-0.00142484	0.13490000	0.00093055	0.13490000	0.00047452	0.13490000	0.00158482	0.13490000	0.00070720	0.13490000	0.00111574
0.13960000	0.00193068	0.13960000	0.00069928	0.13960000	0.00049876	0.13960000	0.00101539	0.13960000	0.00133912	0.13960000	0.00017371	0.13960000	-0.00133311	0.13960000	-0.00156790	0.13960000	0.00090015	0.13960000	0.00043765	0.13960000	0.00156885	0.13960000	0.00070320	0.13960000	0.00107459
