Mo_400Sb_30Se_1 2026-07-09 12-05-45		Mo_400Sb_30Se_2 2026-07-09 12-07-33		Mo_400Sb_30Se_3 2026-07-09 12-09-34		Mo_400Sb_30Se_5 2026-07-09 12-11-24		Mo_400Sb_30Se_6 2026-07-09 12-12-38		Mo_400Sb_30Se_7 2026-07-09 12-13-59		Mo_400Sb_30Se_8 2026-07-09 12-15-13		Mo_400Sb_30Se_9 2026-07-09 12-16-33		Mo_400Sb_30Se_10 2026-07-09 12-17-48		Mo_400Sb_30Se_11 2026-07-09 12-19-34		Mo_400Sb_30Se_12 2026-07-09 12-22-06	
Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas
0.22885000	-0.00393712	0.22885000	-0.00364879	0.22885000	-0.00497982	0.22885000	-0.00306792	0.22885000	0.00045353	0.22885000	-0.00171582	0.22885000	-0.00164303	0.22885000	-0.00136755	0.22885000	0.00034790	0.22885000	0.00049351	0.22885000	0.00029129
0.23355000	-0.00406957	0.23355000	-0.00377291	0.23355000	-0.00514442	0.23355000	-0.00318843	0.23355000	0.00039902	0.23355000	-0.00180360	0.23355000	-0.00174809	0.23355000	-0.00143028	0.23355000	0.00030153	0.23355000	0.00044769	0.23355000	0.00023918
0.23825000	-0.00420384	0.23825000	-0.00389790	0.23825000	-0.00530883	0.23825000	-0.00331180	0.23825000	0.00034455	0.23825000	-0.00189102	0.23825000	-0.00185598	0.23825000	-0.00149438	0.23825000	0.00025312	0.23825000	0.00040039	0.23825000	0.00018700
0.24295000	-0.00433944	0.24295000	-0.00402461	0.24295000	-0.00547339	0.24295000	-0.00343618	0.24295000	0.00028681	0.24295000	-0.00197954	0.24295000	-0.00196521	0.24295000	-0.00155992	0.24295000	0.00020594	0.24295000	0.00035138	0.24295000	0.00013273
0.24765000	-0.00447738	0.24765000	-0.00415261	0.24765000	-0.00564147	0.24765000	-0.00356216	0.24765000	0.00023000	0.24765000	-0.00206912	0.24765000	-0.00207495	0.24765000	-0.00162711	0.24765000	0.00015620	0.24765000	0.00030060	0.24765000	0.00007595
0.25235000	-0.00461822	0.25235000	-0.00428266	0.25235000	-0.00580783	0.25235000	-0.00369119	0.25235000	0.00017097	0.25235000	-0.00215864	0.25235000	-0.00218656	0.25235000	-0.00169380	0.25235000	0.00010641	0.25235000	0.00025078	0.25235000	0.00001621
0.25705000	-0.00476098	0.25705000	-0.00441473	0.25705000	-0.00597708	0.25705000	-0.00382071	0.25705000	0.00011027	0.25705000	-0.00224944	0.25705000	-0.00229684	0.25705000	-0.00176295	0.25705000	0.00005483	0.25705000	0.00019835	0.25705000	-0.00004438
0.26175000	-0.00490632	0.26175000	-0.00454896	0.26175000	-0.00614810	0.26175000	-0.00395170	0.26175000	0.00004872	0.26175000	-0.00234213	0.26175000	-0.00241194	0.26175000	-0.00183201	0.26175000	0.00000334	0.26175000	0.00014408	0.26175000	-0.00010861
0.26645000	-0.00505491	0.26645000	-0.00468396	0.26645000	-0.00632038	0.26645000	-0.00408430	0.26645000	-0.00001246	0.26645000	-0.00243589	0.26645000	-0.00252924	0.26645000	-0.00190394	0.26645000	-0.00005059	0.26645000	0.00008737	0.26645000	-0.00017485
0.27115000	-0.00520669	0.27115000	-0.00482231	0.27115000	-0.00649460	0.27115000	-0.00421946	0.27115000	-0.00007753	0.27115000	-0.00252962	0.27115000	-0.00264804	0.27115000	-0.00197600	0.27115000	-0.00010367	0.27115000	0.00003123	0.27115000	-0.00024289
