Mo_400deg_400Sb_35Se_1 2026-07-09 13-06-40		Mo_400deg_400Sb_35Se_2 2026-07-09 13-08-33		Mo_400deg_400Sb_35Se_3 2026-07-09 13-10-06		Mo_400deg_400Sb_35Se_6 2026-07-09 13-11-56		Mo_400deg_400Sb_35Se_10 2026-07-09 13-20-38		Mo_400deg_400Sb_35Se_11 2026-07-09 13-22-13		Mo_400deg_400Sb_35Se_12 2026-07-09 13-23-33		Mo_400deg_400Sb_35Se_7 2026-07-09 13-25-31		Mo_400deg_400Sb_35Se_8 2026-07-09 13-26-50		Mo_400deg_400Sb_35Se_9 2026-07-09 13-28-07	
Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas
0.20065000	-0.00062879	0.20065000	0.00062758	0.20065000	-0.00021067	0.20065000	-0.00098538	0.20065000	-0.00180681	0.20065000	-0.00017283	0.20065000	-0.00058662	0.20065000	-0.00108717	0.20065000	-0.00271782	0.20065000	-0.00316000
0.20535000	-0.00067734	0.20535000	0.00059001	0.20535000	-0.00026176	0.20535000	-0.00107458	0.20535000	-0.00188461	0.20535000	-0.00022251	0.20535000	-0.00063947	0.20535000	-0.00116303	0.20535000	-0.00282535	0.20535000	-0.00327033
0.21005000	-0.00072690	0.21005000	0.00055239	0.21005000	-0.00031221	0.21005000	-0.00116450	0.21005000	-0.00196452	0.21005000	-0.00027291	0.21005000	-0.00069295	0.21005000	-0.00123678	0.21005000	-0.00293366	0.21005000	-0.00338424
0.21475000	-0.00077587	0.21475000	0.00051434	0.21475000	-0.00036371	0.21475000	-0.00125433	0.21475000	-0.00204323	0.21475000	-0.00032444	0.21475000	-0.00074686	0.21475000	-0.00131280	0.21475000	-0.00304154	0.21475000	-0.00349798
0.21945000	-0.00082619	0.21945000	0.00047681	0.21945000	-0.00041554	0.21945000	-0.00134682	0.21945000	-0.00212122	0.21945000	-0.00037597	0.21945000	-0.00080082	0.21945000	-0.00138755	0.21945000	-0.00315192	0.21945000	-0.00361425
0.22415000	-0.00087668	0.22415000	0.00043664	0.22415000	-0.00046808	0.22415000	-0.00144004	0.22415000	-0.00220137	0.22415000	-0.00042813	0.22415000	-0.00085527	0.22415000	-0.00146448	0.22415000	-0.00326378	0.22415000	-0.00373286
0.22885000	-0.00092734	0.22885000	0.00039884	0.22885000	-0.00052214	0.22885000	-0.00153528	0.22885000	-0.00228072	0.22885000	-0.00048012	0.22885000	-0.00090986	0.22885000	-0.00154199	0.22885000	-0.00337652	0.22885000	-0.00385281
0.23355000	-0.00097737	0.23355000	0.00035912	0.23355000	-0.00057619	0.23355000	-0.00163288	0.23355000	-0.00236242	0.23355000	-0.00053372	0.23355000	-0.00096414	0.23355000	-0.00162047	0.23355000	-0.00349143	0.23355000	-0.00397441
0.23825000	-0.00102951	0.23825000	0.00031893	0.23825000	-0.00063082	0.23825000	-0.00172829	0.23825000	-0.00244359	0.23825000	-0.00058865	0.23825000	-0.00101992	0.23825000	-0.00170012	0.23825000	-0.00360649	0.23825000	-0.00409974
0.24295000	-0.00108168	0.24295000	0.00027689	0.24295000	-0.00068746	0.24295000	-0.00182716	0.24295000	-0.00252670	0.24295000	-0.00064473	0.24295000	-0.00107598	0.24295000	-0.00177984	0.24295000	-0.00372506	0.24295000	-0.00422613
0.24765000	-0.00113503	0.24765000	0.00023524	0.24765000	-0.00074415	0.24765000	-0.00192632	0.24765000	-0.00261090	0.24765000	-0.00070061	0.24765000	-0.00113285	0.24765000	-0.00186033	0.24765000	-0.00384362	0.24765000	-0.00435691
0.25235000	-0.00118853	0.25235000	0.00019339	0.25235000	-0.00080153	0.25235000	-0.00202614	0.25235000	-0.00269482	0.25235000	-0.00075769	0.25235000	-0.00119025	0.25235000	-0.00194306	0.25235000	-0.00396604	0.25235000	-0.00449047
0.25705000	-0.00124174	0.25705000	0.00015038	0.25705000	-0.00086015	0.25705000	-0.00212951	0.25705000	-0.00277825	0.25705000	-0.00081543	0.25705000	-0.00125015	0.25705000	-0.00202546	0.25705000	-0.00408984	0.25705000	-0.00462800
0.26175000	-0.00129535	0.26175000	0.00010573	0.26175000	-0.00091958	0.26175000	-0.00223494	0.26175000	-0.00286484	0.26175000	-0.00087492	0.26175000	-0.00130950	0.26175000	-0.00210917	0.26175000	-0.00421558	0.26175000	-0.00476938
0.26645000	-0.00135183	0.26645000	0.00006042	0.26645000	-0.00098068	0.26645000	-0.00234060	0.26645000	-0.00295080	0.26645000	-0.00093540	0.26645000	-0.00136943	0.26645000	-0.00219404	0.26645000	-0.00434505	0.26645000	-0.00491545
0.27115000	-0.00140760	0.27115000	0.00001324	0.27115000	-0.00104139	0.27115000	-0.00244907	0.27115000	-0.00303808	0.27115000	-0.00099611	0.27115000	-0.00143027	0.27115000	-0.00228013	0.27115000	-0.00447669	0.27115000	-0.00506827
0.27585000	-0.00146413	0.27585000	-0.00003284	0.27585000	-0.00110492	0.27585000	-0.00255811	0.27585000	-0.00312608	0.27585000	-0.00105998	0.27585000	-0.00149183	0.27585000	-0.00236562	0.27585000	-0.00461040	0.27585000	-0.00522501
0.28055000	-0.00152158	0.28055000	-0.00008097	0.28055000	-0.00116782	0.28055000	-0.00267099	0.28055000	-0.00321658	0.28055000	-0.00112317	0.28055000	-0.00155562	0.28055000	-0.00245424	0.28055000	-0.00474738	0.28055000	-0.00538918
0.28525000	-0.00157982	0.28525000	-0.00013159	0.28525000	-0.00123217	0.28525000	-0.00278202	0.28525000	-0.00330680	0.28525000	-0.00118767	0.28525000	-0.00161965	0.28525000	-0.00254264	0.28525000	-0.00488841	0.28525000	-0.00555927
0.28995000	-0.00163858	0.28995000	-0.00018077	0.28995000	-0.00129774	0.28995000	-0.00289760	0.28995000	-0.00339963	0.28995000	-0.00125288	0.28995000	-0.00168395	0.28995000	-0.00263386	0.28995000	-0.00503379	0.28995000	-0.00573767
0.29465000	-0.00169859	0.29465000	-0.00023210	0.29465000	-0.00136490	0.29465000	-0.00301434	0.29465000	-0.00349342	0.29465000	-0.00132022	0.29465000	-0.00175136	0.29465000	-0.00272643	0.29465000	-0.00518210	0.29465000	-0.00592547
0.29935000	-0.00176021	0.29935000	-0.00028437	0.29935000	-0.00143256	0.29935000	-0.00313324	0.29935000	-0.00358819	0.29935000	-0.00138952	0.29935000	-0.00181724	0.29935000	-0.00281694	0.29935000	-0.00533663	0.29935000	-0.00612925
0.30405000	-0.00182261	0.30405000	-0.00033816	0.30405000	-0.00150139	0.30405000	-0.00325448	0.30405000	-0.00368745	0.30405000	-0.00145910	0.30405000	-0.00188479	0.30405000	-0.00291097	0.30405000	-0.00549568	0.30405000	-0.00634498
0.30870000	-0.00188466	0.30870000	-0.00039308	0.30870000	-0.00157101	0.30870000	-0.00337442	0.30870000	-0.00378277	0.30870000	-0.00152850	0.30870000	-0.00195296	0.30870000	-0.00300494	0.30870000	-0.00565706	0.30870000	-0.00656953
