Mo_room_400Sb_35Se_1 2026-07-09 12-37-33		Mo_room_400Sb_35Se_2 2026-07-09 12-39-10		Mo_room_400Sb_35Se_3 2026-07-09 12-40-56		Mo_room_400Sb_35Se_5 2026-07-09 12-44-35		Mo_room_400Sb_35Se_6 2026-07-09 12-46-48		Mo_room_400Sb_35Se_7 2026-07-09 12-48-47		Mo_room_400Sb_35Se_8 2026-07-09 12-49-56		Mo_room_400Sb_35Se_9 2026-07-09 12-51-28		Mo_room_400Sb_35Se_10 2026-07-09 12-54-37		Mo_room_400Sb_35Se_11 2026-07-09 12-55-41		Mo_room_400Sb_35Se_12 2026-07-09 12-57-17	
Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas
0.21005000	-0.00999992	0.21005000	-0.00999992	0.21005000	-0.00999991	0.21005000	-0.00999992	0.21005000	-0.00999992	0.21005000	-0.00999995	0.21005000	-0.00999992	0.21005000	-0.00999992	0.21005000	-0.00999991	0.21005000	-0.00999991	0.21005000	-0.00999990
0.21475000	-0.00999991	0.21475000	-0.00999991	0.21475000	-0.00999991	0.21475000	-0.00999992	0.21475000	-0.00999993	0.21475000	-0.00999986	0.21475000	-0.00999992	0.21475000	-0.00999987	0.21475000	-0.00999992	0.21475000	-0.00999993	0.21475000	-0.00999992
0.21945000	-0.00999992	0.21945000	-0.00999989	0.21945000	-0.00999992	0.21945000	-0.00999992	0.21945000	-0.00999992	0.21945000	-0.00999993	0.21945000	-0.00999992	0.21945000	-0.00999986	0.21945000	-0.00999991	0.21945000	-0.00999992	0.21945000	-0.00999991
0.22415000	-0.00999992	0.22415000	-0.00999989	0.22415000	-0.00999991	0.22415000	-0.00999992	0.22415000	-0.00999992	0.22415000	-0.00999993	0.22415000	-0.00999992	0.22415000	-0.00999990	0.22415000	-0.00999991	0.22415000	-0.00999991	0.22415000	-0.00999992
0.22885000	-0.00999992	0.22885000	-0.00999992	0.22885000	-0.00999992	0.22885000	-0.00999991	0.22885000	-0.00999991	0.22885000	-0.00999990	0.22885000	-0.00999990	0.22885000	-0.00999991	0.22885000	-0.00999991	0.22885000	-0.00999992	0.22885000	-0.00999991
0.23355000	-0.00999992	0.23355000	-0.00999991	0.23355000	-0.00999991	0.23355000	-0.00999992	0.23355000	-0.00999993	0.23355000	-0.00999989	0.23355000	-0.00999992	0.23355000	-0.00999991	0.23355000	-0.00999991	0.23355000	-0.00999992	0.23355000	-0.00999991
0.23825000	-0.00999993	0.23825000	-0.00999990	0.23825000	-0.00999991	0.23825000	-0.00999992	0.23825000	-0.00999993	0.23825000	-0.00999996	0.23825000	-0.00999992	0.23825000	-0.00999990	0.23825000	-0.00999991	0.23825000	-0.00999992	0.23825000	-0.00999991
0.24295000	-0.00999992	0.24295000	-0.00999992	0.24295000	-0.00999991	0.24295000	-0.00999992	0.24295000	-0.00999992	0.24295000	-0.00999994	0.24295000	-0.00999992	0.24295000	-0.00999992	0.24295000	-0.00999992	0.24295000	-0.00999991	0.24295000	-0.00999991
0.24765000	-0.00999991	0.24765000	-0.00999992	0.24765000	-0.00999990	0.24765000	-0.00999992	0.24765000	-0.00999992	0.24765000	-0.00999992	0.24765000	-0.00999991	0.24765000	-0.00999991	0.24765000	-0.00999991	0.24765000	-0.00999992	0.24765000	-0.00999991
0.25235000	-0.00999991	0.25235000	-0.00999991	0.25235000	-0.00999991	0.25235000	-0.00999993	0.25235000	-0.00999994	0.25235000	-0.00999991	0.25235000	-0.00999992	0.25235000	-0.00999991	0.25235000	-0.00999991	0.25235000	-0.00999992	0.25235000	-0.00999992
